year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,sellingprice,saledate
2011,Nissan,Sentra,2.0 SL,Sedan,automatic,3n1ab6ap0bl730707,ca,38.0,65829.0,silver,gray,skyhigh remarketing inc,7500.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2006,Hyundai,Tiburon,SE,Hatchback,manual,kmhhn65f66u204156,ga,33.0,77523.0,blue,black,tdaf remarketing,4400.0,Tue Mar 03 2015 05:10:00 GMT-0800 (PST)
2007,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al55f077253349,md,37.0,130615.0,blue,gray,darcars of fairfax,2000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
2002,Volvo,S60,2.4,Sedan,automatic,yv1rs61r622103457,nj,29.0,125089.0,silver,black,red bank volvo inc,2400.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2008,Mazda,CX-7,Sport,SUV,automatic,jm3er293380184924,ga,27.0,76812.0,—,gray,santander consumer,6300.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac2ch470681,oh,44.0,30322.0,black,gray,hyundai motor finance,16300.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2010,Subaru,Impreza,2.5i Premium,Hatchback,automatic,jf1gh6b63ah816494,nj,19.0,115790.0,burgundy,black,jpmorgan chase bank n.a.,4000.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2012,Honda,Accord,EX,Coupe,automatic,1hgcs1b72ca020645,ca,44.0,26718.0,white,tan,ahfc/honda lease trust/hvt  inc. eot,16200.0,Thu Feb 12 2015 04:00:00 GMT-0800 (PST)
2003,Toyota,Highlander,Limited,SUV,automatic,jtehf21a830115952,nj,35.0,161150.0,gold,tan,all american ford/subaru,6000.0,Wed Jan 07 2015 09:30:00 GMT-0800 (PST)
2008,Subaru,Impreza,WRX,Sedan,manual,jf1ge74618g513323,ut,27.0,64234.0,red,black,capital one auto finance,14900.0,Wed Feb 11 2015 03:30:00 GMT-0800 (PST)
2009,Toyota,Corolla,S,Sedan,automatic,2t1bu40e69c023432,nc,19.0,73269.0,black,black,fifth third bank,6100.0,Tue Feb 24 2015 01:15:00 GMT-0800 (PST)
2005,Ford,Explorer Sport Trac,XLS,Crew Cab,automatic,1fmzu67k25ub32369,ga,19.0,171149.0,beige,beige,nalley ford sandy springs,3800.0,Tue Feb 17 2015 05:00:00 GMT-0800 (PST)
2014,Jeep,Cherokee,Limited,SUV,,1c4pjmds5ew274166,ab,41.0,16017.0,white,black,chrysler canada inc,30400.0,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2005,Chevrolet,TrailBlazer,LS,SUV,,1gndt13s352369840,nv,1.0,178974.0,black,—,frontline auto remarketing llc,550.0,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
2012,Chevrolet,Colorado,2LT,crew cab,automatic,1gchtdfe6c8150348,nv,19.0,41477.0,silver,gray,manheim nevada,18250.0,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
2013,Porsche,911,Carrera,Convertible,,wp0ca2a99ds140593,ca,46.0,7294.0,black,black,porsche financial services,66000.0,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg4eh243046,pa,3.0,29578.0,gray,black,pv holding inc/gdp,16400.0,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
2007,Ford,Escape Hybrid,Base,SUV,automatic,1fmcu59h67kb77105,ny,25.0,101900.0,gold,—,valley national bank,4000.0,Wed Feb 04 2015 02:15:00 GMT-0800 (PST)
2006,Ford,Ranger,XL,Regular Cab,automatic,1ftyr10d26pa78829,ny,24.0,165963.0,white,gray,adk auto brokers inc,1700.0,Tue Dec 30 2014 09:45:00 GMT-0800 (PST)
2013,Porsche,911,Carrera,coupe,,wp0aa2a94ds106682,pa,35.0,28540.0,red,black,porsche financial services,62500.0,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr6dr229609,pa,27.0,56079.0,blue,black,wheels exchange llc,10700.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2001,Hyundai,Tiburon,Base,Hatchback,automatic,kmhjg25f81u262573,md,26.0,93357.0,red,black,bmw of fairfax,1550.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2011,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4rr4gg6bc600055,nj,28.0,58932.0,black,black,wheels exchange llc,18500.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
2004,Acura,TL,3.2,Sedan,automatic,19uua66204a051042,fl,33.0,177615.0,red,beige,centerone/macul,3600.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2013,BMW,3 Series,328i,Sedan,automatic,wba3a5c59df603916,ca,41.0,63476.0,gray,black,high bid trading co inc,19700.0,Wed May 27 2015 05:15:00 GMT-0700 (PDT)
2005,Lexus,ES 330,Base,Sedan,automatic,jthba30g555070445,az,,171401.0,burgundy,tan,valley auto center,4400.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2005,Pontiac,G6,Base,sedan,automatic,1g2zg528754172405,oh,18.0,133111.0,white,black,dt credit corporation,2900.0,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
2006,Chevrolet,Monte Carlo,LS,Coupe,automatic,2g1wj15k669168790,ga,19.0,153452.0,black,beige,five star chevrolet cadillac,2800.0,Fri Jan 30 2015 03:00:00 GMT-0800 (PST)
2004,BMW,5 Series,525i,Sedan,automatic,wbana53534b847674,ca,27.0,100174.0,silver,black,european motors,5300.0,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er437963,pa,4.0,9885.0,black,black,enterprise holdings/gdp,20800.0,Thu Feb 19 2015 01:30:00 GMT-0800 (PST)
2012,Infiniti,M,M37x,Sedan,automatic,jn1by1ar4cm393991,il,41.0,30383.0,gray,black,nissan infiniti lt,25400.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST)
2002,Chrysler,Sebring,GTC,Convertible,automatic,1c3el75r22n222918,fl,19.0,122461.0,black,tan,coral springs honda,700.0,Fri Feb 06 2015 01:30:00 GMT-0800 (PST)
2012,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu8cu027316,tx,45.0,26273.0,silver,black,gm financial,9800.0,Wed Feb 11 2015 02:00:00 GMT-0800 (PST)
1999,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4g258s9xc650220,tx,31.0,145416.0,red,—,onemain remarketing services,2300.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5289187,tn,38.0,24572.0,—,beige,ars/enterprise,20300.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
2006,Toyota,Highlander,Base,suv,automatic,jtegd21a060140754,ma,29.0,106066.0,beige,tan,boch new to you superstore,6400.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,sedan,automatic,1n4al2ap9cn542598,fl,34.0,76926.0,gray,black,westlake financial services,8200.0,Thu Jun 11 2015 08:00:00 GMT-0700 (PDT)
2009,Audi,A4,2.0T Premium Avant quattro,wagon,,waugf78k99a184578,pa,42.0,33360.0,silver,gray,r hollenshead auto sales inc,19900.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2007,Toyota,Highlander,Base,SUV,,jtedp21a470144799,ma,26.0,81729.0,blue,tan,chrysler dodge jeep ram 24,8800.0,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2012,Honda,Accord,EX,sedan,automatic,1hgcp2f72ca101713,ca,38.0,30340.0,blue,black,high bid trading co inc,13000.0,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
2012,BMW,5 Series,528i xDrive,Sedan,automatic,wbaxh5c5xcdw04418,nv,34.0,33523.0,black,—,financial services remarketing (lease),24000.0,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
2010,Nissan,Altima Hybrid,Base,Sedan,automatic,1n4cl2ap4ac112107,wa,2.0,115505.0,gray,black,nissan-infiniti lt,6700.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2006,Mercedes-Benz,CLS-Class,CLS500,Sedan,automatic,wdddj75x26a076549,nj,34.0,87314.0,white,tan,auto liquidations inc,12400.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2014,Kia,Rio,LX,Sedan,automatic,knadm4a36e6332290,fl,38.0,22084.0,white,black,florida auto financial group,9800.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae8dh417919,az,41.0,39090.0,gold,beige,merchants automotive group,12000.0,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35d,SUV,,5uxzw0c54cl671069,nj,23.0,44110.0,gray,gray,financial services remarketing (lease),28500.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
2003,Nissan,Murano,SL,SUV,automatic,jn8az08w93w208807,mn,24.0,135744.0,beige,black,nice cars auto inc,3200.0,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,C-Class,C350 Sport,Sedan,automatic,wddgf5hb1cr192549,ca,44.0,35812.0,black,black,mercedes-benz financial services,26500.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2004,,,,,automatic,jtjbt20x140049915,ga,28.0,126299.0,beige,beige,young motors llc,11300.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2012,Hyundai,Sonata,Limited,Sedan,,5npec4ac1ch411377,pa,35.0,31929.0,black,gray,hyundai motor finance,16300.0,Fri Feb 20 2015 01:00:00 GMT-0800 (PST)
2011,BMW,3 Series,328i,Sedan,automatic,wbaph5g52bnm76372,ca,41.0,13147.0,gray,black,financial services remarketing (lease),22250.0,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2004,Dodge,Ram Pickup 1500,SLT,Regular Cab,automatic,1d7hu16nx4j122046,oh,19.0,104335.0,white,gray,dt credit corporation,4700.0,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
2013,Ford,Mustang,V6,coupe,,1zvbp8am3d5226186,pa,48.0,12612.0,gray,black,ford motor credit company llc,17100.0,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h71dr140707,mi,29.0,7041.0,red,black,ford motor credit company llc,13600.0,Thu Dec 18 2014 09:00:00 GMT-0800 (PST)
2012,BMW,X5,xDrive35i Premium,suv,,5uxzv4c58cl757740,oh,35.0,53498.0,gray,black,financial services remarketing (lease),28000.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2011,Toyota,Camry,LE,sedan,automatic,4t4bf3ek9br178277,mo,39.0,43714.0,silver,gray,the hertz corporation,11300.0,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
2012,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8cr215576,nv,37.0,42120.0,—,black,mercedes-benz financial services,19750.0,Thu Feb 19 2015 14:00:00 GMT-0800 (PST)
2014,Kia,Sportage,LX,SUV,automatic,kndpb3ac4e7561254,nv,49.0,12308.0,red,gray,kia motors america  inc,16600.0,Wed Dec 31 2014 12:00:00 GMT-0800 (PST)
2012,,,,,automatic,4a32b2ff4ce020590,fl,34.0,62645.0,white,black,dtg operations inc,8200.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv9cw194189,oh,2.0,53713.0,green,gray,toyota financial services,13300.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2007,Ford,Explorer Sport Trac,XLT,Crew Cab,automatic,1fmeu51k67ua06469,wa,44.0,78053.0,brown,beige,xcar inc,12500.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,2.5,Sedan,,1n4al3ap6dn473926,ca,41.0,30604.0,—,black,nissan-infiniti lt,18500.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2007,Dodge,Durango,SXT,SUV,automatic,1d8hb38p77f578105,mo,37.0,90204.0,white,gray,city of st peters,4400.0,Tue Jan 27 2015 03:00:00 GMT-0800 (PST)
2013,Chevrolet,Equinox,LT,SUV,automatic,2gnaldek3d6356444,va,31.0,34796.0,blue,black,lease plan usa,14300.0,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
2010,Nissan,Titan,SE,King Cab,automatic,1n6aa0cc4an305610,ne,29.0,47993.0,gray,black,dm northwest inc,18400.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
2003,Ford,Explorer,XLT,SUV,automatic,1fmzu73k23uc54934,nc,39.0,210719.0,silver,gray,hendrick kia of cary,1700.0,Mon Feb 09 2015 01:30:00 GMT-0800 (PST)
2000,Ford,F-250 Super Duty,XL,Regular Cab,,1ftnf21l3yec97496,fl,19.0,186456.0,red,gray,meridian remarketing,1100.0,Thu Feb 12 2015 02:45:00 GMT-0800 (PST)
2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar3cm971668,mo,44.0,29477.0,black,black,nissan infiniti lt,21800.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2012,Nissan,Sentra,2,sedan,automatic,3n1ab6ap8cl614091,va,19.0,26947.0,silver,gray,fiserv,8300.0,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
2013,Bentley,Continental GTC,V8,convertible,automatic,scbgt3za2dc083666,ca,34.0,5907.0,blue,beige,desert european motorcars,141500.0,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap2dc165485,ga,43.0,42899.0,black,black,nissan motor acceptance corporation,12000.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2006,Nissan,Xterra,X,SUV,automatic,5n1an08w56c511544,va,35.0,110791.0,blue,tan,brown's dulles nissan,7600.0,Thu Feb 19 2015 01:05:00 GMT-0800 (PST)
2014,Ram,1500,SLT,Quad Cab,automatic,1c6rr7gt1es323174,sc,44.0,19854.0,silver,gray,enterprise veh exchange/rental,27100.0,Thu Jan 15 2015 01:15:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcc143730,ca,41.0,36098.0,—,black,nissan-infiniti lt,13000.0,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2007,Toyota,Avalon,XLS,Sedan,automatic,4t1bk36bx7u192426,nc,26.0,134439.0,green,tan,fred anderson toyota/scion,4500.0,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
2011,Jeep,Wrangler,Unlimited Sahara,SUV,,1j4ba5h12bl505047,qc,44.0,62612.0,silver,brown,ari,21900.0,Tue Jan 06 2015 00:00:00 GMT-0800 (PST)
2012,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pf5scxc7369731,ca,1.0,51271.0,white,gray,hertz damaged liquidation,6500.0,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
2007,HUMMER,H3,Base,SUV,automatic,5gtdn13e678199771,fl,42.0,92303.0,black,black,santander consumer,12200.0,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb3e7114924,ga,24.0,33091.0,red,black,avis corporation,11300.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Lexus,IS 250,Base,Sedan,automatic,jthbf5c28d5188808,fl,42.0,9697.0,black,black,lexus financial services,24000.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2011,Ford,Escape,Limited,suv,automatic,1fmcu0e72bkc31024,ca,41.0,50765.0,white,tan,lease plan usa,13100.0,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
2014,Chrysler,200,LX,sedan,automatic,1c3ccbab0en125112,ne,36.0,31595.0,burgundy,black,l a auto sales inc,10800.0,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
2009,Kia,Spectra,EX,Sedan,automatic,knafe222395586129,az,28.0,83557.0,silver,gray,repo remarketing/vantage west credit union,4800.0,Thu Feb 19 2015 03:00:00 GMT-0800 (PST)
2012,Ford,Focus,S,Sedan,manual,1fahp3e28cl370177,fl,36.0,53270.0,white,—,primeritus remarketing/crescent bank & trust,6200.0,Wed Jan 21 2015 07:15:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng9eb6da499358,pa,3.0,28253.0,black,beige,oceanside auto center inc,20500.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2dm717322,ca,46.0,18558.0,gray,black,nissan infiniti lt,23750.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2011,Nissan,Rogue,SV,SUV,automatic,jn8as5mv8bw314730,tx,34.0,29950.0,burgundy,black,nissan-infiniti lt,16200.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
2008,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp36818a085638,oh,35.0,89141.0,white,tan,wells fargo dealer services,10000.0,Tue Feb 10 2015 04:00:00 GMT-0800 (PST)
2013,Ford,Edge,Limited,SUV,automatic,2fmdk4kc3dbb12236,tx,47.0,57329.0,black,black,the hertz corporation,20500.0,Wed Feb 25 2015 02:05:00 GMT-0800 (PST)
2013,Lexus,GS 350,Base,sedan,automatic,jthbe1bl1d5003696,ca,42.0,33905.0,white,black,lexus financial services,30500.0,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
2013,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7dr656996,ne,28.0,64334.0,burgundy,black,the hertz corporation,14800.0,Thu Feb 12 2015 04:15:00 GMT-0800 (PST)
2002,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y22u131469,pa,19.0,111922.0,white,gray,tdaf remarketing,425.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2012,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef4cfb68821,in,44.0,65011.0,white,gray,fiserv/citizens one auto finance,23800.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
2011,Honda,Pilot,EX-L,SUV,automatic,5fnyf4h56bb066100,pa,37.0,73194.0,silver,black,r hollenshead auto sales inc,20700.0,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap8cc139210,il,43.0,42218.0,white,black,nissan-infiniti lt,13400.0,Thu Jan 08 2015 02:00:00 GMT-0800 (PST)
2004,Toyota,Camry,LE,Sedan,automatic,4t1be32k74u920664,tx,21.0,244110.0,gold,beige,enterprise veh exchange/rental,2500.0,Tue May 26 2015 03:05:00 GMT-0700 (PDT)
2012,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae5cu318216,fl,42.0,14853.0,blue,beige,hyundai motor finance,13500.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2010,Hyundai,Sonata,GLS,Sedan,automatic,5npet4ac7ah590862,mo,21.0,104056.0,—,gray,primeritus remarketing/national auto plaza,5000.0,Tue Jan 27 2015 02:30:00 GMT-0800 (PST)
2010,Chevrolet,Camaro,2SS,Coupe,manual,2g1ft1ew5a9110952,tx,41.0,57551.0,orange,—,music city autoplex llc,20000.0,Wed Jan 07 2015 10:20:00 GMT-0800 (PST)
2008,Jeep,Liberty,Sport,suv,automatic,1j8gn28k68w244738,tx,31.0,104899.0,gray,beige,tdaf remarketing,8300.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2008,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfc16078g164195,tx,23.0,83839.0,black,black,pm standley motorcars,16000.0,Wed Jan 21 2015 02:20:00 GMT-0800 (PST)
2012,Audi,A6,3.0T Premium quattro,Sedan,automatic,wauggafc7cn121503,ca,43.0,47076.0,white,black,vw credit,25500.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
2014,Hyundai,Accent,GS,Hatchback,automatic,kmhct5ae4eu193163,nj,48.0,1295.0,gray,black,jpmorgan chase bank n.a.,12700.0,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
2014,Chevrolet,Impala Limited,LS Fleet,Sedan,automatic,2g1wa5e35e1183391,co,4.0,12033.0,silver,black,gm remarketing,12400.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
2012,Jaguar,XJ,Base,Sedan,automatic,sajwa2gb1clv25891,ga,45.0,31925.0,green,beige,jpmorgan chase bank n.a.,40500.0,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
2008,Ford,F-350 Super Duty,Lariat,Crew Cab,automatic,1ftww31r58ea21755,ny,31.0,137954.0,black,tan,gucci services inc,21400.0,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2010,GMC,Terrain,SLE-1,SUV,automatic,2ctalbew1a6312457,nc,28.0,64232.0,white,black,suntrust bank,9100.0,Tue Feb 03 2015 01:15:00 GMT-0800 (PST)
2014,Ford,Focus,SE,Hatchback,automatic,1fadp3k2xel177566,tx,47.0,37595.0,white,black,ars/avis budget group,11600.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Fiesta,SE,Sedan,automatic,3fadp4bj8em147932,md,39.0,12756.0,white,gray,ford motor credit company llc pd,10500.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap3dc162420,ca,26.0,20899.0,white,beige,nissan-infiniti lt,13750.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2013,Lexus,RX 350,Base,SUV,automatic,jtjzk1ba9d2008490,fl,47.0,19896.0,black,black,arg inc,31800.0,Tue Dec 30 2014 12:15:00 GMT-0800 (PST)
2013,Volkswagen,Jetta,SE,sedan,automatic,3vwdx7aj8dm392674,ne,38.0,33969.0,brown,tan,sac fcu,11600.0,Thu Jun 18 2015 04:30:00 GMT-0700 (PDT)
2013,Honda,Civic,EX,sedan,automatic,2hgfb2f89dh507463,ga,4.0,31625.0,gray,gray,ahfc/honda lease trust/hvt  inc.,14200.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6dm711104,ga,44.0,22978.0,black,gray,nissan infiniti lt,20400.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2012,Nissan,Versa,1.8 S,hatchback,,3n1bc1cpxck211933,pa,38.0,58960.0,gray,black,nissan-infiniti lt,8300.0,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2013,Toyota,Prius,Two,hatchback,automatic,jtdkn3du6d5584597,ca,33.0,52961.0,white,gray,the hertz corporation,12301.0,Tue Jun 09 2015 05:30:00 GMT-0700 (PDT)
2012,Lexus,RX 350,Base,suv,,2t2bk1ba1cc137887,pa,32.0,33662.0,silver,black,lexus of warwick,27500.0,Fri Jun 05 2015 02:15:00 GMT-0700 (PDT)
2006,Nissan,Maxima,3.5 SE,Sedan,automatic,1n4ba41e76c813243,ca,19.0,95699.0,blue,black,quality acceptance,3700.0,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
2011,Toyota,4Runner,Limited,SUV,automatic,jtebu5jr3b5070102,fl,4.0,32990.0,black,black,the collection,30800.0,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5eu5cf190315,mn,37.0,94790.0,—,black,wheels ltd,8100.0,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb7e7436353,nj,28.0,12192.0,silver,black,enterprise veh exchange/rental,10500.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
2013,Volkswagen,Beetle Convertible,2.5L PZEV,Beetle Convertible,automatic,3vw5p7at3dm830345,fl,26.0,5445.0,black,black,autonation volkswagen delray,9600.0,Tue Jan 27 2015 01:15:00 GMT-0800 (PST)
2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk4eu416926,co,49.0,12246.0,gray,black,toyota motor sales usa inc/program,16800.0,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
2007,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng71x37a130144,nc,32.0,170997.0,black,black,boykin motors of johnston co inc,15100.0,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
2008,Saturn,Astra,XE,Hatchback,automatic,w08ar671085111621,il,,133333.0,black,—,phillips chevrolet inc,2000.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2002,Volkswagen,Jetta,GLS 1.8T,sedan,automatic,3vwse69m72m126288,va,19.0,115679.0,silver,black,brown's dulles nissan,2000.0,Thu Jun 11 2015 02:05:00 GMT-0700 (PDT)
2007,Chevrolet,Cobalt,LS,coupe,automatic,1g1ak15f077355374,pa,28.0,58909.0,silver,gray,td auto finance,2900.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2005,Ford,Mustang,GT Premium,Coupe,manual,1zvft82h255136737,tx,19.0,54178.0,blue,black,hopper motorplex inc,8300.0,Wed Jan 21 2015 02:15:00 GMT-0800 (PST)
2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew9eda63548,mi,32.0,13216.0,white,gray,u-haul,19700.0,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
2011,Dodge,Journey,Mainstreet,SUV,automatic,3d4pg1fg5bt559816,tx,33.0,117237.0,white,tan,ge fleet services for itself/servicer,7300.0,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2007,Saturn,VUE,Base,SUV,automatic,5gzcz53457s801468,oh,43.0,102593.0,blue,gray,tc's used cars llc,5000.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2012,Buick,Verano,Leather Group,Sedan,,1g4ps5skxc4183291,qc,5.0,13008.0,white,beige,financialinx,15000.0,Tue Jan 20 2015 02:00:00 GMT-0800 (PST)
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn576513,nj,42.0,27650.0,white,black,nissan-infiniti lt,11800.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2007,Lexus,RX 350,Base,SUV,automatic,2t2hk31u07c026867,fl,,95366.0,blue,tan,braman motorcars of jupiter,13000.0,Fri Dec 19 2014 09:35:00 GMT-0800 (PST)
2014,,,,,,1c4njdab7ed804435,ab,4.0,21643.0,white,black,chrysler canada inc,17750.0,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2014,MINI,Cooper Countryman,Base,Wagon,automatic,wmwzb3c54ewr39969,nj,43.0,8818.0,red,—,bmw mini north america,19500.0,Tue Feb 10 2015 06:00:00 GMT-0800 (PST)
2009,Ford,Flex,Limited,Wagon,automatic,2fmdk53c19ba32722,mo,27.0,93526.0,burgundy,tan,ford-lincoln dealer program,12000.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
2012,Dodge,Journey,SXT,suv,automatic,3c4pddbg5ct159978,ma,36.0,87874.0,black,black,honda gallery,10700.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
2014,Jeep,Wrangler,Unlimited Sahara,suv,automatic,1c4hjweg0el164766,wi,5.0,25005.0,silver,black,lease plan usa,29500.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2007,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk66847r252807,nc,35.0,166653.0,gold,tan,rippy cadillac llc,14400.0,Mon Jan 05 2015 01:30:00 GMT-0800 (PST)
